kreis_id	krs17	krs17_name	fl17	bev17	kbez	kbez	ktyp4	ktyp4_name	slraum	slraum_name	raumt2010lage_kreis	raumt2010lage_kreis_name	rtyp3	rtyp3_name	WO	WO_name
05754	5754000	Gütersloh	969.21	363049	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05758	5758000	Herford	450.41	251539	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05762	5762000	Höxter	1201.42	141565	43	Kreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	3	peripher	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05766	5766000	Lippe	1246.19	349069	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	1	Städtische Region	1	Westdeutschland
05770	5770000	Minden-Lübbecke	1152.41	311207	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	1	Städtische Region	1	Westdeutschland
05774	5774000	Paderborn	1246.78	305362	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05911	5911000	"Bochum, Stadt"	145.66	365529	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05913	5913000	"Dortmund, Stadt"	280.71	586600	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05914	5914000	"Hagen, Stadt"	160.45	187730	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05915	5915000	"Hamm, Stadt"	226.43	179185	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05916	5916000	"Herne, Stadt"	51.42	156490	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05954	5954000	Ennepe-Ruhr-Kreis	409.64	324670	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05958	5958000	Hochsauerlandkreis	1960.15	261591	43	Kreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05962	5962000	Märkischer Kreis	1061.08	413383	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
05966	5966000	Olpe	712.14	134808	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05970	5970000	Siegen-Wittgenstein	1132.89	277977	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05974	5974000	Soest	1328.62	301693	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
05978	5978000	Unna	543.21	393934	43	Kreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06411	6411000	"Darmstadt, Stadt"	122.09	158254	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06412	6412000	"Frankfurt am Main, Stadt"	248.31	746878	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06413	6413000	"Offenbach am Main, Stadt"	44.89	126658	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06414	6414000	"Wiesbaden, Stadt"	203.93	278654	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06431	6431000	Bergstraße	719.51	268780	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06432	6432000	Darmstadt-Dieburg	658.63	296048	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06433	6433000	Groß-Gerau	453.03	271403	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06434	6434000	Hochtaunuskreis	482	235995	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06435	6435000	Main-Kinzig-Kreis	1397.55	418208	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06436	6436000	Main-Taunus-Kreis	222.39	236969	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06437	6437000	Odenwaldkreis	623.97	96597	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	1	Städtische Region	1	Westdeutschland
06438	6438000	Offenbach	356.29	351692	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06439	6439000	Rheingau-Taunus-Kreis	811.48	186602	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	1	Städtische Region	1	Westdeutschland
06440	6440000	Wetteraukreis	1100.69	305312	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	1	sehr zentral	1	Städtische Region	1	Westdeutschland
06531	6531000	Gießen	854.66	267056	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	3	Ländliche Region	1	Westdeutschland
06532	6532000	Lahn-Dill-Kreis	1066.53	254164	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	3	Ländliche Region	1	Westdeutschland
06533	6533000	Limburg-Weilburg	738.46	171971	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	3	Ländliche Region	1	Westdeutschland
06534	6534000	Marburg-Biedenkopf	1262.54	246165	44	Landkreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	2	zentral	3	Ländliche Region	1	Westdeutschland
06535	6535000	Vogelsbergkreis	1458.99	106451	44	Landkreis	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	3	peripher	3	Ländliche Region	1	Westdeutschland
06611	6611000	"Kassel, Stadt"	106.78	200736	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
06631	6631000	Fulda	1380.48	221783	44	Landkreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	3	peripher	3	Ländliche Region	1	Westdeutschland
06632	6632000	Hersfeld-Rotenburg	1097.09	121101	44	Landkreis	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	3	peripher	3	Ländliche Region	1	Westdeutschland
06633	6633000	Kassel	1292.92	236674	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
06634	6634000	Schwalm-Eder-Kreis	1538.49	180754	44	Landkreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	3	peripher	2	Region mit Verstädterungsansätzen	1	Westdeutschland
06635	6635000	Waldeck-Frankenberg	1848.44	157256	44	Landkreis	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	3	peripher	2	Region mit Verstädterungsansätzen	1	Westdeutschland
06636	6636000	Werra-Meißner-Kreis	1024.69	101101	44	Landkreis	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	3	peripher	2	Region mit Verstädterungsansätzen	1	Westdeutschland
07111	7111000	"Koblenz, Stadt"	105.25	113844	41	Kreisfreie Stadt	1	kreisfreie Großstadt	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
07131	7131000	Ahrweiler	787.02	128914	44	Landkreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
07132	7132000	Altenkirchen (Westerwald)	642.37	128791	44	Landkreis	2	Städtischer Kreis	1	Städtischer Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
07133	7133000	Bad Kreuznach	863.89	157549	44	Landkreis	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	2	zentral	2	Region mit Verstädterungsansätzen	1	Westdeutschland
